140	-	-	-	-	-	-	-	-	-	-	-	460
150	152	-	(48,4)	-	(21,5)	(56,6)	81,0	102,5	51,6	68,4	85,1	503
160	162	(1,0)	(50,2)	-	(24,4)	(58,3)	83,9	104,1	54,8	70,5	86,2	544
170	173	(4,0)	(51,9)	(0,8)	(27,0)	(60,0)	86,6	105,6	57,7	72,4	87,2	585
180	183	(6,8)	(53,4)	(4,0)	(29,5)	(61,5)	89,0	106,9	60,2	74,1	88,0	624
190	193	(9,4)	(54,8)	(7,0)	(31,8)	(62,9)	91,2	108,1	62,5	75,6	88,8	661
200	203	(11,9)	(56,2)	(9,9)	(34,0)	(64,3)	93,2	109,2	64,6	77,0	89,4	697
210	214	(14,2)	(57,4)	(12,6)	(36,1)	(65,6)	95,0	110,3	66,4	78,3	90,0	732
220	223	(16,4)	(58,6)	(15,1)	(38,1)	(66,8)	96,7	111,2	68,2	79,5	90,6	765
230	233	(18,5)	(59,7)	(17,6)	(39,9)	(67,9)	98,3	112,2	69,7	80,6	91,1	796
240	243	(20,5)	(60,7)	(19,9)	(41,7)	(69,0)	99,8	113,0	71,2	81,6	91,6	826	
250	252	(22,4)	(61,7)	(22,1)	(43,3)	(70,0)	101,2	113,8	72,5	82,6	92,0	-
260	262	(24,3)	(62,6)	(24,2)	(44,9)	(71,0)	102,5	114,6	73,7	83,5	92,4	-
270	271	(26,0)	(63,5)	(26,2)	(46,4)	(72,0)	103,7	115,3	74,9	84,3	92,7	-
280	280	(27,7)	(64,3)	(28,1)	(47,9)	(72,9)	104,9	116,0	75,9	85,1	93,0	-
290	289	(29,2)	(65,1)	(29,9)	(49,2)	(73,7)	106,0	116,6	76,9	85,8	93,3	-
300	298	(30,8)	(65,8)	(31,6)	(50,6)	(74,6)	107,0	117,2	77,9	86,5	93,6	-
310	307	(32,2)	(66,6)	(33,6)	(51,8)	(75,4)	108,0	117,8	78,8	87,1	93,9	-
320	316	(33,6)	(67,2)	(35,0)	(53,0)	(76,1)	108,9	118,4	79,6	87,8	94,1	-
