210	205	15,3	57,2	13,4	36,1	65,2	94,8	110,4	65,4	76,8	89,2	651
220	215	17,4	58,4	15,9	38,1	66,5	96,7	111,4	67,6	78,5	90,0	683
230	225	19,3	59,6	18,2	40,4	67,8	98,4	112,4	69,6	80,0	90,8	716
240	235	21,2	60,6	20,4	41,8	68,9	100,0	113,3	71,4	81,4	91,4	748
250	245	22,9	61,6	22,5	43,4	70,0	101,4	114,1	73,0	82,5	92,0	781
260	255	24,6	62,5	24,4	45,0	71,0	102,7	114,9	74,4	83,6	92,5	813
270	266	26,2	63,4	26,3	46,5	72,0	103,9	115,6	75,7	84,5	93,0	845
280	276	27,7	64,3	28,1	47,9	72,9	105,0	116,2	76,9	85,4	93,4	877
290	286	29,1	65,0	29,8	49,3	73,7	106,0	116,8	77,9	86,1	93,7	909
300	296	30,5	65,8	31,4	50,5	74,5	106,9	117,3	78,9	86,8	94,0	940
310	306	31,8	66,5	32,9	51,8	75,3	107,7	117,8	79,7	87,4	94,3	972
320	316	33,1	67,2	34,4	52,9	76,0	108,5	118,3	80,5	88,0	94,6	1003
330	326	34,3	67,8	35,8	54,0	76,7	109,2	118,8	81,2	88,4	94,8	1035
340	336	35,4	68,5	37,2	55,1	77,3	109,9	119,2	81,9	88,9	95,0	1070
350	345	36,5	69,1	38,4	56,1	78,0	110,5	119,6	82,5	89,3	92,5	1097
360	355	37,6	69,6	39,7	57,1	78,6	111,1	119,9	83,0	89,6	95,4	1128
370	365	38,6	70,2	40,9	58,0	79,1	111,7	120,3	83,5	89,9	95,5	1159
380	375	39,6	70,7	42,0	58,9	79,7	112,2	120,6	84,0	90,2	95,6	1189
390	385	40,6	71,2	43,2	59,8	80,2	112,7	120,9	84,4	90,5	95,7	1220
400	395	41,5	71,7	44,2	60,6	80,7	113,1	121,2	84,8	90,7	95,8	1250
410	405	42,4	72,2	45,3	61,4	81,2	113,6	121,5	85,1	90,9	95,9	1281
420	414	43,2	72,6	46,3	62,2	81,6	-	-	-	-	-	1311
430	424	44,1	73,0	47,2	63,0	82,1	-	-	-	-	-	1341
440	434	44,9	73,5	48,2	63,7	82,5	-	-	-	-	-	1371
450	444	45,7	73,9	49,1	64,4	82,9	-	-	-	-	-	1401
460	453	46,4	74,3	50,0	65,1	83,3	-	-	-	-	-	1430
470	463	47,2	74,6	50,8	65,8	83,7	-	-	-	-	-	1460
480	473	47,9	75,0	51,7	66,4	84,1	-	-	-	-	-	-
490	482	48,6	75,4	52,5	67,0	84,4	-	-	-	-	-	-
500	492	49,2	75,7	53,2	67,6	84,8	-	-	-	-	-	-
510	501	49,9	76,0	54,0	68,2	85,1	-	-	-	-	-	-
520	511	50,5	76,4	54,8	68,8	85,4	-	-	-	-	-	-
530	520	51,2	76,7	55,5	69,3	85,8	-	-	-	-	-	-
540	530	51,8	77,0	56,2	69,9	86,1	-	-	-	-	-	-
550	539	52,4	77,3	56,8	70,4	86,4	-	-	-	-	-	-
560	549	52,9	77,6	57,5	70,9	86,6	-	-	-	-	-	-
570	558	53,5	77,9	58,2	71,4	86,9	-	-	-	-	-	-
580	568	54,0	78,2	58,8	71,9	87,2	-	-	-	-	-	-
590	577	54,6	78,4	59,4	72,4	87,5	-	-	-	-	-	-
600	586	55,1	78,7	60,0	72,8	87,7	-	-	-	-	-	-
610	596	55,6	78,9	60,6	73,3	88,0	-	-	-	-	-	-
620	605	56,1	79,2	61,2	73,7	88,2	-	-	-	-	-	-
630	614	56,6	79,4	61,7	74,2	88,5	-	-	-	-	-	-
640	623	57,1	79,7	62,3	74,6	88,7	-	-	-	-	-	-
650	632	57,5	79,9	62,8	75,0	88,9	-	-	-	-	-	-
