255	80	76,0	-	-	-	-	-	-	-	-
270	85	80,7	41,0	-	-	-	-	-	-	-
285	90	85,5	48,0	82,6	-	-	-	-	-	-
305	95	90,2	52,0	-	-	-	-	-	-	-
320	100	95,0	56,2	87,0	-	-	-	-	-	-
335	105	99,8	-	-	-	-	-	-	-	-
350	110	105	62,3	90,5	-	-	-	-	-	-
370	115	109	-	-	-	-	-	-	-	-
385	120	114	66,7	93,6	-	-	-	-	-	-	
400	125	119	-	-	-	-	-	-	-	-
415	130	124	71,2	96,4	-	-	-	-	-	-
430	135	128	-	-	-	-	-	-	-	-
450	140	133	75,0	99,0	-	-	-	-	-	-
465	145	138	-	-	-	-	-	-	-	-
480	150	143	78,7	101,4	-	-	-	-	-	-
495	155	147	-	-	-	-	-	-	-	-
510	160	152	81,7	103,6	-	-	-	-	-	-
530	165	156	-	-	-	-	-	-	-	-
545	170	162	85,0	105,5	-	-	-	-	-	-
560	175	166	-	-	-	-	-	-	-	-
575	180	171	87,1	107,2	-	-	-	-	-	-
595	185	176	-	-	-	-	-	-	-	-
610	190	181	89,5	108,7	-	-	-	-	-	-
625	195	185	-	-	-	-	-	-	-	-
640	200	190	91,5	110,1	-	-	-	-	-	-
660	205	195	92,5	-	-	-	-	-	-	-
675	210	199	93,5	111,3	-	-	-	-	-	-
690	215	204	94,0	-	-	-	-	-	-	-
705	220	209	95,0	112,4	-	-	-	-	-	-
720	225	214	96,0	-	-	-	-	-	-	-
740	230	219	96,7	113,4	-	-	-	-	-	-
755	235	223	-	-	-	-	-	-	-	-
770	240	228	98,1	114,3	20,3	60,7	40,3	69,6	41,7	19,9
785	245	233	-	-	21,3	61,2	41,1	70,1	42,5	21,1
800	250	238	99,5	115,1	22,2	61,6	41,7	70,6	43,4	22,2	
820	255	242	-	-	23,1	62,0	42,2	71,1	44,2	23,2
835	260	247	(101)	-	24,0	62,4	43,1	71,6	45,0	24,3
850	265	252	-	-	24,8	62,7	43,7	72,1	45,7	25,2
865	270	257	(102)	-	25,6	63,1	44,3	72,6	46,4	26,2
880	275	261	-	-	26,4	63,5	44,9	73,0	47,2	27,1
900	280	266	(104)	-	27,1	63,8	45,3	73,4	47,8	27,9
915	285	271	-	-	27,8	64,2	46,0	73,8	48,4	28,7
930	290	276	(105)	-	28,5	64,5	46,5	74,2	49,0	29,5
950	295	280	-	-	29,2	64,8	47,1	74,6	49,7	30,4
965	300	285	-	-	29,8	65,2	47,5	74,9	50,2	31,1
995	310	295	-	-	31,0	65,8	48,4	75,6	51,3	32,5
1030	320	304	-	-	32,2	66,4	49,4	76,2	52,3	33,9
1060	330	314	-	-	33,3	67,0	50,2	76,8	53,6	35,2
1095	340	323	-	-	34,4	67,6	51,1	77,4	54,4	36,5
1125	350	333	-	-	35,5	68,1	51,9	78,0	55,4	37,8
